Division,Season,Crop,Variety,pH,Soil Type
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Black gram,LBG-17,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Black gram,LBG-17,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Black gram,LBG-17,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Green gram,Pusa Vishal,4.00–6.98,Lateritic
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Green gram,Pusa Vishal,4.00–6.98,Lateritic
Brahmavara,Rabi,Green gram,Pusa Vishal,4.00–6.98,Lateritic
Kapu,Rabi,Green gram,Pusa Vishal,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Green gram,Pusa Vishal,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Green gram,Pusa Vishal,4.00–6.98,Lateritic
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Green gram,Pusa Vishal,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Green gram,Pusa Vishal,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Green gram,Pusa Vishal,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Green gram,Pusa Vishal,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Cowpea,GP-1,4.00–6.98,Lateritic
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Cowpea,GP-1,4.00–6.98,Lateritic
Brahmavara,Rabi,Cowpea,GP-1,4.00–6.98,Lateritic
Kapu,Rabi,Cowpea,GP-1,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Cowpea,GP-1,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Cowpea,GP-1,4.00–6.98,Lateritic
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Cowpea,GP-1,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Cowpea,GP-1,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Cowpea,GP-1,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Cowpea,GP-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Sesame,DS-1,4.00–6.98,Lateritic
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Sesame,DS-1,4.00–6.98,Lateritic
Brahmavara,Rabi,Sesame,DS-1,4.00–6.98,Lateritic
Kapu,Rabi,Sesame,DS-1,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Sesame,DS-1,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Sesame,DS-1,4.00–6.98,Lateritic
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Sesame,DS-1,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Sesame,DS-1,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Sesame,DS-1,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Sesame,DS-1,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,,4.00–6.98,Lateritic
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,,4.00–6.98,Lateritic
Brahmavara,Summer,Paddy,,4.00–6.98,Lateritic
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Brahmavara,Summer,Paddy,,4.00–6.98,Lateritic
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,,4.00–6.98,Lateritic
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,,4.00–6.98,Lateritic
Brahmavara,Summer,Paddy,,4.00–6.98,Lateritic
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Brahmavara,Summer,Paddy,,4.00–6.98,Lateritic
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,,4.08–5.86,Coastal Alluvium
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,Shakti,4.00–6.98,Lateritic
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,Shakti,4.00–6.98,Lateritic
Brahmavara,Summer,Paddy,Shakti,4.00–6.98,Lateritic
Kapu,Summer,Paddy,Shakti,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,Shakti,4.08–5.86,Coastal Alluvium
Brahmavara,Summer,Paddy,Shakti,4.00–6.98,Lateritic
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Summer,Paddy,Shakti,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,Shakti,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,Shakti,4.08–5.86,Coastal Alluvium
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Shakti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,CTH-1 (Mukti),4.00–6.98,Lateritic
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,CTH-1 (Mukti),4.00–6.98,Lateritic
Brahmavara,Summer,Paddy,CTH-1 (Mukti),4.00–6.98,Lateritic
Kapu,Summer,Paddy,CTH-1 (Mukti),4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,CTH-1 (Mukti),4.08–5.86,Coastal Alluvium
Brahmavara,Summer,Paddy,CTH-1 (Mukti),4.00–6.98,Lateritic
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Kapu,Summer,Paddy,CTH-1 (Mukti),4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,CTH-1 (Mukti),4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,CTH-1 (Mukti),4.08–5.86,Coastal Alluvium
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,CTH-1 (Mukti),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,Sahyadri Brahma,4.00–6.98,Lateritic
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Paddy,Sahyadri Brahma,4.00–6.98,Lateritic
Brahmavara,Summer,Paddy,Sahyadri Brahma,4.00–6.98,Lateritic
Kapu,Summer,Paddy,Sahyadri Brahma,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,Sahyadri Brahma,4.08–5.86,Coastal Alluvium
Brahmavara,Summer,Paddy,Sahyadri Brahma,4.00–6.98,Lateritic
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Summer,Paddy,Sahyadri Brahma,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,Sahyadri Brahma,4.08–5.86,Coastal Alluvium
Kapu,Summer,Paddy,Sahyadri Brahma,4.08–5.86,Coastal Alluvium
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Paddy,Sahyadri Brahma,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Groundnut,TMV-2,4.00–6.98,Lateritic
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Groundnut,TMV-2,4.00–6.98,Lateritic
Brahmavara,Summer,Groundnut,TMV-2,4.00–6.98,Lateritic
Kapu,Summer,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Kapu,Summer,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Brahmavara,Summer,Groundnut,TMV-2,4.00–6.98,Lateritic
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Summer,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Kapu,Summer,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Kapu,Summer,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Groundnut,DH 3-30,4.00–6.98,Lateritic
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Summer,Groundnut,DH 3-30,4.00–6.98,Lateritic
Brahmavara,Summer,Groundnut,DH 3-30,4.00–6.98,Lateritic
Kapu,Summer,Groundnut,DH 3-30,4.08–5.86,Coastal Alluvium
Kapu,Summer,Groundnut,DH 3-30,4.08–5.86,Coastal Alluvium
Brahmavara,Summer,Groundnut,DH 3-30,4.00–6.98,Lateritic
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Summer,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
